name, image, url, description
Athena,imgs/Analytics/Athena.svg,https://aws.amazon.com/athena,"Amazon Athena is a serverless, interactive analytics service that provides a simplified and flexible way to analyze petabytes of data where it lives."
Clean Rooms,imgs/Analytics/Clean-Rooms.svg,https://aws.amazon.com/clean-rooms,AWS Clean Rooms helps companies and their partners more securely analyze and collaborate on their collective datasets without sharing or revealing underlying data.
CloudSearch,imgs/Analytics/CloudSearch.svg,https://aws.amazon.com/cloudsearch,"Quickly add rich, scalable search capabilities to your website or application with support for 34 languages and search features like highlighting, autocomplete, and geospatial search."
Data Exchange,imgs/Analytics/Data-Exchange.svg,https://aws.amazon.com/data-exchange,"There is no other place where customers can find data files, data tables, and data APIs from a vast portfolio of third-party data sets. We continuously innovate to make the world's third-party data easy to find in one data catalog."
Data Pipeline,imgs/Analytics/Data-Pipeline.svg,https://aws.amazon.com/data-pipeline,AWS Data Pipeline is a cloud-based data workflow service that helps you process and move data between different AWS services and on-premise data sources.
DataZone,imgs/Analytics/DataZone.svg,https://aws.amazon.com/datazone,"Use Amazon DataZone to discover, share, govern, and analyze data at scale across organizational boundaries by making data accessible to everyone in the organization."
EMR,imgs/Analytics/EMR.svg,https://aws.amazon.com/emr,"Amazon EMR is a cloud big data platform for running large-scale distributed data processing jobs, interactive SQL queries, and machine learning applications using open-source analytics frameworks such as Apache Spark, Apache Hive, and Presto."
FinSpace,imgs/Analytics/FinSpace.svg,https://aws.amazon.com/finspace,Data management and analytics service purpose-built for the financial services industry.
Glue,imgs/Analytics/Glue.svg,https://aws.amazon.com/glue,"AWS Glue is a serverless data integration service that makes it easy to discover, prepare, integrate, and modernize the extract, transform, and load (ETL) process."
Glue DataBrew,imgs/Analytics/Glue-DataBrew.svg,https://aws.amazon.com/glue-databrew,"Learn more about AWS Glue DataBrew, a visual data preparation tool that makes it easy for data analysts and data scientists to prepare data for analytics and machine learning."
Glue Elastic Views,imgs/Analytics/Glue-Elastic-Views.svg,https://aws.amazon.com/glue-elastic-views,"AWS Glue is a serverless data integration service that makes it easy to discover, prepare, integrate, and modernize the extract, transform, and load (ETL) process."
Kinesis,imgs/Analytics/Kinesis.svg,https://aws.amazon.com/kinesis,"Collect streaming data, create a real-time data pipeline, and analyze real-time video and data streams, log analytics, event analytics, and IoT analytics."
Kinesis Data Analytics,imgs/Analytics/Kinesis-Data-Analytics.svg,https://aws.amazon.com/kinesis-data-analytics,"Gain actionable insights from streaming data with serverless, fully managed Apache Flink"
Kinesis Data Streams,imgs/Analytics/Kinesis-Data-Streams.svg,https://aws.amazon.com/kinesis-data-streams,"Amazon Kinesis Data Streams is a fully managed, serverless data streaming service that stores and ingests various streaming data in real time at any scale."
Kinesis Firehose,imgs/Analytics/Kinesis-Firehose.svg,https://aws.amazon.com/kinesis-firehose,Create a streaming data pipeline for real-time ingest (streaming ETL) into data lakes and analytics tools with Amazon Kinesis Data Firehose.
Kinesis Video Streams,imgs/Analytics/Kinesis-Video-Streams.svg,https://aws.amazon.com/kinesis-video-streams,"Capture, process, and store video streams & media streams for computer vision apps, smart home apps, smart city apps, and real-time video analytics."
Lake Formation,imgs/Analytics/Lake-Formation.svg,https://aws.amazon.com/lake-formation,"AWS Lake Formation is a fully managed service used to build, manage, and secure data lakes in days, so you can confidently share data across your organization."
Managed Streaming for Apache Kafka,imgs/Analytics/Managed-Streaming-for-Apache-Kafka.svg,https://aws.amazon.com/managed-streaming-for-apache-kafka,"Amazon MSK is a fully managed, secure, and highly available Apache Kafka service that makes it easy to ingest and process streaming data in real time at a low cost."
OpenSearch Service,imgs/Analytics/OpenSearch-Service.svg,https://aws.amazon.com/opensearch-service,"Unlock fast and scalable search, monitoring, and analysis for log analytics and website search by deploying and running OpenSearch and ALv2 Elasticsearch."
QuickSight,imgs/Analytics/QuickSight.svg,https://aws.amazon.com/quicksight,"Amazon QuickSight is a cloud-native, serverless, business intelligence with native ML integrations and usage-based pricing, allowing insights for all users."
Redshift,imgs/Analytics/Redshift.svg,https://aws.amazon.com/redshift,"Amazon Redshift uses SQL to analyze structured and semi-structured data across data warehouses, operational databases, and data lakes, using AWS-designed hardware and machine learning to deliver the best price performance at any scale."
API Gateway,imgs/App-Integration/API-Gateway.svg,https://aws.amazon.com/api-gateway,"Amazon API Gateway helps you build HTTP, REST, and WebSocket APIs with a fully managed service that makes it easy to create, publish, maintain, manage, monitor, and secure APIs."
AppFlow,imgs/App-Integration/AppFlow.svg,https://aws.amazon.com/appflow,Amazon AppFlow is an integration service that enables you to securely transfer data between SaaS applications and AWS services without code.
